City,Country,Temperature (F),Latitude,Longtitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
pudozh,RU,62.38,61.81,36.54,99,80,6.17
promyshlennaya,RU,62.6,54.92,85.64,72,0,8.95
longyearbyen,NO,51.8,78.22,15.63,71,75,5.82
mandera,ET,79.75,3.94,41.86,59,8,13.67
urucara,BR,84.97,-2.54,-57.76,64,64,2.82
hofn,IS,51.85,64.25,-15.21,97,8,4.72
paratinga,BR,81.82,-12.69,-43.18,48,0,3.71
vavuniya,LK,80.38,8.76,80.5,75,64,16.35
igarka,RU,51.04,67.47,86.57,94,92,22.5
san ramon de la nueva oran,AR,61.84,-23.13,-64.33,47,76,3.04
saint-paul-les-dax,FR,76.1,43.73,-1.05,88,0,5.82
candelaria,CO,82.4,3.41,-76.35,54,40,3.36
harper,US,92.03,30.3,-99.24,29,75,8.05
ust-kut,RU,41.23,56.78,105.75,89,20,2.59
sofiysk,0,0.0,0.0,0.0,0,0,0.0
paulo ramos,BR,77.5,-4.45,-45.24,89,32,4.16
bhuj,IN,78.85,23.25,69.67,84,80,15.79
ayan,TR,60.58,40.67,33.6,61,48,3.71
gold coast,AU,48.2,-28.0,153.41,93,0,6.51
touros,BR,78.76,-5.2,-35.46,79,8,15.68
varkkallai,IN,80.6,8.73,76.71,88,20,4.7
agva,0,0.0,0.0,0.0,0,0,0.0
araouane,ML,92.89,18.9,-3.53,31,0,11.54
caborca,MX,96.04,30.58,-111.1,39,8,3.94
jiaozuo,CN,76.96,35.21,113.25,82,68,2.04
salinopolis,BR,81.19,-0.61,-47.36,95,76,14.79
belaya gora,RU,46.18,68.54,146.19,66,0,10.2
palauig,PH,75.25,15.44,119.9,100,92,2.82
terralba,IT,71.6,39.72,8.64,88,40,3.36
thinadhoo,MV,82.45,0.53,72.93,100,12,4.72
omsukchan,RU,51.67,62.53,155.8,100,92,3.49
balkhash,KZ,69.49,46.84,74.98,91,0,9.19
hirara,JP,84.25,24.8,125.28,100,12,8.3
guangyuan,CN,69.67,32.43,105.86,93,8,2.59
honiara,SB,71.6,-9.43,159.96,100,20,3.36
el retorno,CO,81.91,2.33,-72.63,73,56,2.71
dalvik,SE,66.2,57.79,14.13,68,0,8.05
asau,0,0.0,0.0,0.0,0,0,0.0
codrington,AU,40.96,-28.95,153.24,83,0,3.15
okato,NZ,50.77,-39.19,173.88,100,100,7.4
karaul,0,0.0,0.0,0.0,0,0,0.0
neiafu,TO,71.6,-18.65,-173.98,68,40,4.7
djambala,CG,68.86,-2.55,14.76,92,8,6.06
golden,CA,57.16,51.3,-116.96,59,48,2.15
kailua,US,80.6,21.39,-157.74,74,40,11.41
balykshi,0,0.0,0.0,0.0,0,0,0.0
jiangyou,CN,71.29,31.78,104.73,92,20,3.15
podgornoye,RU,46.99,57.79,82.64,89,0,5.17
la rioja,AR,62.92,-29.41,-66.86,61,0,2.48
katsiveli,0,0.0,0.0,0.0,0,0,0.0
mirnyy,RU,67.33,56.57,36.46,58,8,7.52
maymyo,MM,68.59,22.03,96.47,100,92,2.48
narrabri,AU,33.76,-30.33,149.78,77,0,3.38
sorkjosen,0,0.0,0.0,0.0,0,0,0.0
luis correia,BR,86.0,-2.88,-41.67,70,20,17.22
bolivar,US,91.4,35.26,-88.99,46,75,4.7
nakamura,JP,80.6,35.17,136.87,94,20,4.7
qui nhon,0,0.0,0.0,0.0,0,0,0.0
nyanza,RW,66.2,-2.35,29.75,77,75,8.05
sehithwa,BW,66.61,-20.47,22.7,41,8,10.31
severo-yeniseyskiy,RU,58.78,60.37,93.04,68,0,7.74
ambon,FR,80.6,47.55,-2.56,61,0,11.41
yatou,CM,77.0,3.63,9.81,94,75,2.24
dingle,PH,74.8,11.0,122.67,99,92,10.65
halalo,0,0.0,0.0,0.0,0,0,0.0
aljezur,PT,75.07,37.31,-8.8,74,64,7.18
bandarbeyla,SO,77.14,9.49,50.81,85,32,30.11
ayagoz,KZ,57.52,47.96,80.43,93,8,2.71
sri aman,MY,73.4,1.24,111.46,94,44,2.93
ahuimanu,US,80.6,21.44,-157.84,74,40,11.41
karasjok,NO,57.2,69.47,25.52,82,75,6.93
lapi,EE,66.2,57.91,26.99,77,80,9.17
adeje,NG,74.62,5.68,5.76,82,8,8.19
mubende,UG,61.03,0.56,31.4,84,0,4.27
pisco,PE,68.0,-13.71,-76.2,64,0,18.34
coihaique,CL,50.47,-45.58,-72.07,54,40,9.17
irituia,BR,80.11,-1.77,-47.44,78,24,7.74
xichang,CN,55.0,27.88,102.25,97,12,1.7
luocheng,CN,73.81,28.29,114.55,97,32,2.82
naryan-mar,RU,45.91,67.67,53.09,92,32,8.3
mendahara,0,0.0,0.0,0.0,0,0,0.0
rantepao,ID,66.16,-2.97,119.9,100,88,0.36
walvis bay,NA,56.44,-22.95,14.51,100,0,13.78
alta floresta,BR,94.51,-9.87,-56.08,23,80,2.04
manavalakurichi,IN,80.6,8.13,77.3,88,20,4.7
tura,IN,77.5,25.52,90.21,95,100,2.26
krasnaya polyana,UA,70.57,45.47,34.13,61,20,4.94
ituni,0,0.0,0.0,0.0,0,0,0.0
fujinomiya,JP,80.6,35.24,138.62,94,75,3.36
vila velha,BR,80.6,-3.71,-38.6,69,0,16.11
uspenka,UA,66.97,48.39,39.16,78,0,1.48
oda,JP,80.29,35.19,132.5,90,0,13.0
bristol,GB,71.47,51.45,-2.6,82,0,6.93
uvira,CD,60.04,-3.41,29.14,100,8,2.37
manzanillo,CU,86.05,20.34,-77.12,100,8,12.1
santa rita,VE,86.0,10.21,-67.56,58,40,1.7
bilibino,RU,51.94,68.06,166.44,53,48,2.71
sambava,MG,73.36,-14.27,50.17,100,48,15.79
nishihara,JP,80.82,35.74,139.53,88,1,4.72
polunochnoye,RU,40.15,60.87,60.43,84,0,2.71
jasper,US,90.95,33.83,-87.28,47,56,4.61
mangan,IN,47.17,27.5,88.54,98,88,0.47
rawannawi,0,0.0,0.0,0.0,0,0,0.0
kirakira,SB,78.58,-10.46,161.92,100,100,19.71
lincoln,US,82.36,40.8,-96.67,51,1,21.92
vardo,US,84.4,39.62,-77.74,48,75,6.93
warri,NG,74.62,5.52,5.75,82,8,8.19
pacific grove,US,73.6,36.62,-121.92,22,1,10.29
melita,CA,82.99,49.27,-100.98,43,8,10.65
tual,ID,78.22,-5.67,132.75,100,92,10.31
tabuk,PH,68.59,17.41,121.44,97,88,1.03
baracoa,CU,82.54,20.35,-74.5,95,48,14.0
meiganga,CM,66.25,6.52,14.29,91,44,2.48
haines junction,CA,62.47,60.75,-137.51,51,68,3.38
oyama,JP,77.0,36.31,139.8,100,20,5.82
tuatapere,NZ,40.78,-46.13,167.69,100,56,5.06
scottsburgh,0,0.0,0.0,0.0,0,0,0.0
antalaha,MG,70.12,-14.9,50.28,93,64,10.87
campbellsville,US,89.02,37.34,-85.34,48,1,3.94
bontang,ID,79.21,0.12,117.47,100,8,11.54
sinnamary,GF,82.36,5.38,-52.96,93,44,12.77
baltasi,RU,60.67,56.34,50.21,79,88,10.76
hasaki,JP,77.0,35.73,140.83,94,20,3.36
wisconsin rapids,US,83.08,44.39,-89.82,54,1,8.05
auki,NG,74.62,12.18,6.51,86,32,6.06
half moon bay,US,75.99,37.46,-122.43,82,1,14.99
